"Stage","ID","Asset Name","Coupon","PACE Asset Balance","Closing Date","Maturity Date"," Term (Years)","Amortization Start Date","Cap-I End Date","Payments per Year","Current Total Debt MTG + PACE","Mortgage Balance","Total Project Budget","as-is Property Value","as-complete Property Value","as-stabilized Property value","as-stabilized PACE LTV","as-stabilized Mortgage LTV","as-stabilized Combined LTV","Under-Written DSVR","City","State","Property Type","Project Type","PACE Program","Closing Year","Maturity Year"
"05 Servicing","16-30","Hotel Retlaw LLC - Hotel Retlaw","7.15","2373797.57","2018-02-09","2038-07-31",20,"2018-12-31","2018-12-30",2,"19264495.57","16890698","22914495.57","960000","22200000","24100000","9.84978244813278","70.0858838174274","79.9356662655602","1.38","Fond du Lac","WI ","Hotel","Major Renovation","Wisconsin PACE Commission ","2018","2038"
"05 Servicing","16-21","Wangard - Laacke & Joys","5.5","2241218.4","2016-12-01","2036-06-30",20,"2017-01-01","2016-12-31",2,"24241218.4","22000000","24241218.40","3610000","22500000","26700000","8.39407640449438","82.3970037453184","90.7910801498127","2.21","Milwaukee","WI","Office","New Construction","Milwaukee Me2","2016","2036"
"05 Servicing","16-18","Eye Ntoboase - 1848 Fond Du Lac","6.6","158439","2016-08-26","2037-06-30",20,"2017-01-01","2016-12-31",2,"158439","0","158439.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Milwaukee","WI","Office","Major Renovation","Milwaukee Me2","2016","2037"
"05 Servicing","16-10","Jonco T. Ryan - 5611 W. Mill Rd","6.75","212840.38","2016-09-23","2036-06-30",20,"2017-01-01","2016-12-31",2,"212840.38","0","212840.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Milwaukee","WI","Industrial","Retrofit","Milwaukee Me2","2016","2036"
"05 Servicing","15-22 ","MPS-STL Grocery Group","7.84","2737028","2016-12-01","2037-12-31",20,"2018-03-01","2018-02-28",1,"2737028","0","2737028.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"St. Louis ","MO","Retail","Major Renovation","Set The PACE St. Louis","2016","2037"
"05 Servicing","15-11","Kramer Asset Group LLC","5.57","609327.41","2015-08-14","2025-12-31",10,"2016-01-01","2015-12-31",1,"609327.41","0","609327.41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chesterfield ","MO ","Industrial","Retrofit","Missouri Show Me PACE","2015","2025"
"05 Servicing","15-05","Antiques on Pierce","6.89","239604","2015-12-10","2036-06-30",20,"2017-01-01","2016-12-31",2,"239604","0","239604.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Milwaukee","WI","Retail","Major Renovation","Milwaukee Me2","2015","2036"
"05 Servicing","15-01","JSWD - Westin Milwaukee","6.75","6828330.58","2016-02-18","2036-01-31",20,"2017-01-01","2016-12-31",1,"45328330.58","38500000","45328330.58","4300000","63000000","65000000","10.5051239692308","59.2307692307692","69.7358932",NULL,"Milwaukee","WI","Hotel","New Construction","Milwaukee Me2","2016","2036"
"05 Servicing","14-03 ","JSWD - Commerce (Springhill Milwaukee)","5.54","2481252.87","2015-05-20","2034-06-30",19,"2016-01-01","2015-12-31",2,"22481252.87","20000000","22481252.87","5800000","32000000","34900000","7.1096070773639","57.3065902578797","64.4161973352436",NULL,"Milwaukee","WI","Hotel","Major Renovation","Milwaukee Me2","2015","2034"
"04 Post Closing","23-39","600 Ventures - Cambria Detroit","7.81","20038760","2023-07-27","2046-11-30",23,"2023-11-30","2023-11-29",2,"47738760","27700000","74707877.00","71500000","71500000","82800000","24.2014009661836","33.4541062801932","57.6555072463768","1.56","Detroit","MI","Hotel","Retroactive","Lean & Green Michigan","2023","2046"
